as_of_date,region,covid_hosp,covid_icu,covid_intube,yearid,covid_hosp_pop,date_num,Date
2020-04-10T04:00:00Z,Lower Hudson Valley,1769,544,497,2020,82.753,101,"4/10/20<br>Daily count: 1,769"
2020-04-11T04:00:00Z,New York City,12026,3141,2697,2020,136.594,102,"4/11/20<br>Daily count: 12,026"
2020-04-11T04:00:00Z,Long Island,4070,1128,963,2020,139.303,102,"4/11/20<br>Daily count: 4,070"
2020-04-11T04:00:00Z,Lower Hudson Valley,1857,562,494,2020,86.87,102,"4/11/20<br>Daily count: 1,857"
2020-04-12T04:00:00Z,New York City,12184,3122,2696,2020,138.389,103,"4/12/20<br>Daily count: 12,184"
2020-04-12T04:00:00Z,Long Island,4059,1112,956,2020,138.926,103,"4/12/20<br>Daily count: 4,059"
2020-04-12T04:00:00Z,Lower Hudson Valley,1815,545,478,2020,84.905,103,"4/12/20<br>Daily count: 1,815"
2020-04-13T04:00:00Z,New York City,12006,3125,2690,2020,136.367,104,"4/13/20<br>Daily count: 12,006"
2020-04-13T04:00:00Z,Long Island,4085,1123,969,2020,139.816,104,"4/13/20<br>Daily count: 4,085"
2020-04-13T04:00:00Z,Lower Hudson Valley,1826,602,480,2020,85.42,104,"4/13/20<br>Daily count: 1,826"
2020-04-14T04:00:00Z,New York City,11727,3091,2713,2020,133.198,105,"4/14/20<br>Daily count: 11,727"
2020-04-14T04:00:00Z,Long Island,4049,1154,967,2020,138.584,105,"4/14/20<br>Daily count: 4,049"
2020-04-14T04:00:00Z,Lower Hudson Valley,1800,598,463,2020,84.204,105,"4/14/20<br>Daily count: 1,800"
2020-04-15T04:00:00Z,New York City,11277,3078,2708,2020,128.087,106,"4/15/20<br>Daily count: 11,277"
2020-04-15T04:00:00Z,Long Island,3924,1124,948,2020,134.306,106,"4/15/20<br>Daily count: 3,924"
2020-04-15T04:00:00Z,Lower Hudson Valley,1765,525,461,2020,82.566,106,"4/15/20<br>Daily count: 1,765"
2020-04-16T04:00:00Z,New York City,11035,3087,2680,2020,125.338,107,"4/16/20<br>Daily count: 11,035"
2020-04-16T04:00:00Z,Long Island,3766,1106,930,2020,128.898,107,"4/16/20<br>Daily count: 3,766"
2020-04-16T04:00:00Z,Lower Hudson Valley,1752,517,437,2020,81.958,107,"4/16/20<br>Daily count: 1,752"
2020-04-17T04:00:00Z,New York City,10812,3053,2644,2020,122.805,108,"4/17/20<br>Daily count: 10,812"
